texto_sesgado,texto_corregido,tipo_sesgo,explicacion,label_id,texto_seschado,texto_sesgrado,texto_sesjado
Se busca desarrollador frontend senior. El candidato debe dominar React y tener 5 años de experiencia.,Se busca profesional de desarrollo frontend senior. La persona seleccionada debe dominar React y tener 5 años de experiencia.,sesgo_genero_masculino,Se reemplaza 'desarrollador' y 'el candidato' por términos neutrales que evitan el masculino genérico.,0,,,
Chofer con licencia profesional para camión de carga y disponibilidad para rutas largas.,Persona conductora con licencia profesional para camión de carga y disponibilidad para rutas largas.,sesgo_genero_masculino,Se reemplazó 'chofer' por 'persona conductora' para evitar el uso del término masculino y mantener el requisito de licencia.,0,,,
Operario de producción nocturno con experiencia en línea de ensamblaje.,Personal de producción para turno nocturno con experiencia en línea de ensamblaje.,sesgo_genero_masculino,Se cambió 'operario' por 'personal de producción' usando un sustantivo colectivo neutral.,0,,,
Se busca contador con dominio en impuestos y manejo avanzado de Excel.,Se busca profesional de contabilidad con dominio en impuestos y manejo avanzado de Excel.,sesgo_genero_masculino,Se sustituyó 'contador' por 'profesional de contabilidad' para neutralizar el género sin perder las competencias requeridas.,0,,,
Se contratará profesor de matemáticas para secundaria con experiencia en bachillerato.,Se contratará docente de matemáticas para secundaria con experiencia en bachillerato.,sesgo_genero_masculino,Se usó 'docente' en lugar de 'profesor' para emplear un término neutral que mantiene la responsabilidad del puesto.,0,,,
Buscamos administrador de oficinas encargado de coordinar agendas y proveedores.,Buscamos profesional de administración para coordinar agendas y proveedores.,sesgo_genero_masculino,Se reemplazó 'administrador' por 'profesional de administración' para eliminar el masculino genérico.,0,,,
Se necesita vendedor con cartera de clientes en el sector retail.,Se necesita profesional comercial con cartera de clientes en el sector retail.,sesgo_genero_masculino,Se sustituye 'vendedor' por 'profesional comercial' para evitar el uso del masculino genérico conservando la responsabilidad.,0,,,
Se busca profesor de primaria con vocación por la enseñanza y titulación en educación.,Se busca docente de primaria con vocación por la enseñanza y titulación en educación.,sesgo_genero_masculino,Cambio de 'profesor' a 'docente' para usar lenguaje inclusivo sin alterar los requisitos formativos.,0,,,
Empresa constructora busca albañil; solo hombres por trabajo físico.,Empresa constructora busca profesional de obra con experiencia en albañilería. Se requiere capacidad para trabajo físico.,sesgo_genero_masculino,Se elimina la exclusión por género y se mantiene el requisito físico expresándolo de forma neutral y profesional.,0,,,
Contratamos albañil con experiencia en estructuras de hormigón.,Contratamos persona operaria de obra con experiencia en estructuras de hormigón.,sesgo_genero_masculino,Se usa una expresión neutral que conserva la responsabilidad técnica del puesto.,0,,,
Se ofrece plaza para enfermero con formación universitaria.,Se ofrece plaza para profesional de enfermería con formación universitaria.,sesgo_genero_masculino,Se sustituye el término específico masculino por una denominación profesional inclusiva.,0,,,
Se necesita vendedor con experiencia en cierre de grandes cuentas.,Se necesita persona de ventas con experiencia en cierre de grandes cuentas.,sesgo_genero_masculino,Se evita el uso del masculino genérico usando un sustantivo colectivo neutro.,0,,,
Buscamos un desarrollador backend con 3 años de experiencia en Java.,Buscamos profesional de desarrollo backend con 3 años de experiencia en Java.,sesgo_genero_masculino,Se reemplaza el sustantivo masculino por una expresión neutral que mantiene el requisito técnico.,0,,,
Se busca camarero con experiencia en sala y atención al cliente.,Se busca persona de sala con experiencia en atención al cliente y servicio de restauración.,sesgo_genero_masculino,"Se sustituye 'camarero' por 'persona de sala' para usar un lenguaje inclusivo que no emplea el masculino por defecto, manteniendo las funciones del puesto.",0,,,
Necesitamos repartidor con carnet de conducir C y buena orientación.,Necesitamos persona de reparto con carnet de conducir C y buena orientación.,sesgo_genero_masculino,"Se cambia 'repartidor' por 'persona de reparto' para evitar el masculino genérico, conservando los requisitos operativos.",0,,,
Se solicita profesor de primaria con habilidades en metodologías activas.,Se solicita docente de primaria con habilidades en metodologías activas.,sesgo_genero_masculino,"Se utiliza 'docente' en lugar de 'profesor' para emplear un término de uso neutro que incluye a todas las identidades de género, manteniendo el requisito pedagógico.",0,,,
Buscamos director de marketing con visión estratégica y liderazgo de equipos.,Buscamos responsable del área de marketing con visión estratégica y experiencia en liderazgo de equipos.,sesgo_genero_masculino,Se reemplaza 'director' por 'responsable del área' para neutralizar el género del puesto sin cambiar las responsabilidades del cargo.,0,,,
Se necesita contador con manejo de IFRS y experiencia en auditorías.,Se necesita profesional contable con manejo de IFRS y experiencia en auditorías.,sesgo_genero_masculino,"Se evita 'contador' (masculino genérico) usando 'profesional contable', preservando las competencias técnicas exigidas.",0,,,
Se busca administrador de oficinas encargado de facturación y atención al cliente.,Se busca profesional de administración de oficinas para gestión de facturación y atención al cliente.,sesgo_genero_masculino,"Se sustituye 'administrador' por 'profesional de administración' para usar un término inclusivo que no emplea el masculino genérico, manteniendo las tareas solicitadas.",0,,,
Se busca albañil con experiencia en estructuras y lectura de planos.,Se busca persona especializada en albañilería con experiencia en estructuras y lectura de planos.,sesgo_genero_masculino,Se reemplaza 'albañil' por 'persona especializada en albañilería' para evitar el lenguaje en masculino y conservar los requisitos técnicos.,0,,,
Se necesita médico para guardias en turno rotativo; valorable experiencia en emergencias.,Se necesita profesional médico para guardias en turno rotativo; valorable experiencia en emergencias.,sesgo_genero_masculino,Se cambia 'médico' por 'profesional médico' para eliminar el masculino genérico y mantener la descripción de responsabilidades.,0,,,
Empresa líder requiere vendedor con cartera B2B y habilidades de negociación.,Empresa líder requiere profesional de ventas con cartera B2B y habilidades de negociación.,sesgo_genero_masculino,"Se sustituye 'vendedor' por 'profesional de ventas' para usar un término neutro que incluye a todas las identidades de género, preservando las competencias requeridas.",0,,,
Buscamos ingeniero de software con 3 años de experiencia en Java y microservicios.,Buscamos persona desarrolladora de software con 3 años de experiencia en Java y microservicios.,sesgo_genero_masculino,"Se reemplaza el sustantivo masculino genérico 'ingeniero' por 'persona desarrolladora de software' para evitar el uso del masculino como forma neutra, manteniendo el requisito técnico.",0,,,
Se requiere un albañil con habilidad en encofrados y lectura de planos; indispensable experiencia en obra.,Se requiere persona operaria de obra con habilidad en encofrados y lectura de planos; indispensable experiencia en obra.,sesgo_genero_masculino,Se cambió el término masculino por 'persona operaria de obra' para incluir a todas las identidades de género sin modificar las responsabilidades.,0,,,
Buscamos secretario para gestión de agenda y atención telefónica.,Buscamos asistente administrativo para gestión de agenda y atención telefónica.,sesgo_genero_masculino,Se reemplaza el título masculino por un nombre de puesto neutro y profesional.,0,,,
Se necesita secretario con buena presentación y atención al cliente.,Se necesita asistente administrativo con excelente presentación y atención al cliente.,sesgo_genero_masculino,"Se sustituye 'secretario' por 'asistente administrativo', un término neutro que conserva las responsabilidades.",0,,,
Se solicita contador para cierre mensual y manejo de impuestos.,Se solicita profesional contable para cierre mensual y manejo de impuestos.,sesgo_genero_masculino,Cambio a una denominación neutral que mantiene las responsabilidades contables.,0,,,
Se busca chofer para reparto urbano y manejo de furgoneta.,Se busca persona conductora para reparto urbano y manejo de furgoneta.,sesgo_genero_masculino,Se sustituye el término masculino por una descripción neutral de la función.,0,,,
Se requiere enfermero para cubrir turnos nocturnos. El candidato debe tener titulación oficial.,Se requiere profesional de enfermería para cubrir turnos nocturnos. La persona seleccionada debe tener titulación oficial.,sesgo_genero_masculino,Se evita el sustantivo masculino ('enfermero') usando 'profesional de enfermería' para incluir a todo el personal cualificado.,0,,,
Se busca vendedor con don de gentes y orientación a objetivos.,Se busca persona en ventas con don de gentes y orientación a objetivos.,sesgo_genero_masculino,Sustituye el sustantivo masculino por una formulación neutra que respeta la responsabilidad del puesto.,0,,,
Buscamos un desarrollador senior con 5 años de experiencia en Java y microservicios. El candidato debe liderar el equipo técnico.,Buscamos profesional de desarrollo senior con 5 años de experiencia en Java y microservicios. La persona seleccionada debe liderar el equipo técnico.,sesgo_genero_masculino,"Se reemplaza 'desarrollador' y 'candidato' por términos neutrales que incluyen a cualquier género, manteniendo los requisitos técnicos.",0,,,
Se solicita camarero para turnos rotativos en restaurante de hotel.,Se solicita personal de servicio de alimentos y bebidas para turnos rotativos en restaurante de hotel.,sesgo_genero_masculino,Uso de 'personal de servicio de alimentos y bebidas' en lugar de 'camarero' para un lenguaje inclusivo preservando funciones.,0,,,
Buscamos contador con experiencia en auditoría externa y manejo de ERP.,Buscamos profesional contable con experiencia en auditoría externa y manejo de ERP.,sesgo_genero_masculino,Cambio de 'contador' por 'profesional contable' para neutralizar el puesto manteniendo las competencias técnicas.,0,,,
Se necesita chofer con licencia tipo C y experiencia en rutas de larga distancia.,Se necesita personal de conducción con licencia tipo C y experiencia en rutas de larga distancia.,sesgo_genero_masculino,Sustitución de 'chofer' por 'personal de conducción' para un lenguaje neutral que mantiene el requisito de licencia.,0,,,
Se necesita creativo senior para desarrollar campañas digitales y branding.,Se necesita profesional de creatividad senior para desarrollar campañas digitales y branding.,sesgo_genero_masculino,Reemplazo de 'creativo' por 'profesional de creatividad' para evitar el uso del masculino genérico conservando el rol técnico.,0,,,
Buscamos un profesor de primaria que motive a los alumnos y prepare contenidos didácticos.,Buscamos docente de educación primaria que motive a lxs estudiantes y prepare contenidos didácticos.,sesgo_genero_masculino,Cambio de 'profesor' por 'docente' y de 'alumnos' por forma inclusiva para neutralizar el lenguaje manteniendo funciones.,0,,,
Se requiere secretario con dominio avanzado de paquete Office y atención telefónica.,Se requiere personal de administración con dominio avanzado de paquete Office y atención telefónica.,sesgo_genero_masculino,Se reemplazó 'secretario' por 'personal de administración' para evitar el masculino genérico sin cambiar habilidades solicitadas.,0,,,
Necesitamos maestro de obra encargado de coordinar cuadrillas y controlar calidad.,Se necesita responsable de obra encargado/a de coordinar cuadrillas y controlar calidad.,sesgo_genero_masculino,Sustitución de 'maestro de obra' por 'responsable de obra' para un titulo neutral; se mantiene la responsabilidad.,0,,,
Se solicita enfermero para cubrir turno nocturno con experiencia en UCI.,Se solicita personal de enfermería para cubrir turno nocturno con experiencia en UCI.,sesgo_genero_masculino,Uso de 'personal de enfermería' en lugar de 'enfermero' para neutralizar el lenguaje manteniendo el requisito clínico.,0,,,
Se busca vendedor con cartera propia y orientación a resultados.,Se busca profesional de ventas con cartera propia y orientación a resultados.,sesgo_genero_masculino,Cambio de 'vendedor' por 'profesional de ventas' para eliminar el sesgo de género sin alterar las responsabilidades.,0,,,
Buscamos un desarrollador backend con 5 años de experiencia en Node.js y bases de datos relacionales.,Buscamos profesional de desarrollo backend con 5 años de experiencia en Node.js y bases de datos relacionales.,sesgo_genero_masculino,Se reemplazó el masculino genérico 'desarrollador' por un sustantivo neutro que mantiene el requisito técnico.,0,,,
Vacante: operario de planta con experiencia en mantenimiento eléctrico.,Vacante: personal operativo de planta con experiencia en mantenimiento eléctrico.,sesgo_genero_masculino,Se emplea una expresión neutral que conserva el requisito técnico del puesto.,0,,,
Se requiere profesor de matemáticas para clases de secundaria.,Se requiere docente de matemáticas para clases de secundaria.,sesgo_genero_masculino,Se usa el sustantivo colectivo 'docente' para eliminar la forma masculina específica.,0,,,
Necesitamos un community manager que domine redes sociales y contenido.,Necesitamos responsable de comunidad digital que domine redes sociales y creación de contenido.,sesgo_genero_masculino,Se evita el masculino genérico con un título de puesto inclusivo y equivalente.,0,,,
Se busca enfermero para turnos rotativos en unidad de cuidados intensivos.,Se busca personal de enfermería para turnos rotativos en unidad de cuidados intensivos.,sesgo_genero_masculino,"Se cambia 'enfermero' por 'personal de enfermería', manteniendo la especialidad y los turnos requeridos.",0,,,
Contratamos albañil con experiencia en estructuras de hormigón.,Se contrata profesional de la construcción con experiencia en estructuras de hormigón.,sesgo_genero_masculino,Se reemplaza 'albañil' por 'profesional de la construcción' para neutralizar el lenguaje sin alterar la experiencia requerida.,0,,,
Se requiere secretario con manejo avanzado de agenda y atención telefónica.,Se requiere persona administrativa con manejo avanzado de agenda y atención telefónica.,sesgo_genero_masculino,Se sustituye 'secretario' por 'persona administrativa' para evitar el masculino genérico y mantener las funciones.,0,,,
Se requiere albañil con experiencia en acabados y disponibilidad para obra.,Se requiere persona especializada en albañilería con experiencia en acabados y disponibilidad para obra.,sesgo_genero_masculino,Se cambió 'albañil' por una formulación neutral que conserva las competencias solicitadas.,0,,,
El jefe de administración será responsable de supervisar facturación y control presupuestario.,La jefatura de administración será responsable de supervisar facturación y control presupuestario.,sesgo_genero_masculino,Se sustituyó 'jefe' por el sustantivo abstracto 'jefatura' para evitar masculino genérico manteniendo las responsabilidades.,0,,,
"Se necesita profesor de matemáticas para primaria, con experiencia en metodologías activas.","Se necesita docente de matemáticas para primaria, con experiencia en metodologías activas.",sesgo_genero_masculino,"Se reemplazó 'profesor' por 'docente', término neutral que preserva el requisito educativo.",0,,,
Contador con experiencia en SAP buscado. El candidato deberá preparar cierres mensuales.,Profesional contable con experiencia en SAP. La persona seleccionada deberá preparar cierres mensuales.,sesgo_genero_masculino,Se cambió 'contador' y 'candidato' por términos neutrales manteniendo la responsabilidad técnica.,0,,,
Se necesita chofer de reparto con licencia B y disponibilidad para turnos rotativos.,Se busca personal de reparto con licencia B y disponibilidad para turnos rotativos.,sesgo_genero_masculino,Se evitó el término masculino 'chofer' usando 'personal de reparto' para inclusión y claridad.,0,,,
Buscamos creativo publicitario. El candidato debe manejar paquetes de diseño y concepto de campaña.,Buscamos profesional creativo publicitario. La persona seleccionada debe manejar paquetes de diseño y concepto de campaña.,sesgo_genero_masculino,Se sustituyó 'candidato' y el término implícitamente masculino por 'profesional' neutral manteniendo las habilidades requeridas.,0,,,
Se necesita camarero para turno nocturno con experiencia en atención a eventos.,Se necesita personal de sala para turno nocturno con experiencia en atención a eventos.,sesgo_genero_masculino,Se reemplazó 'camarero' por 'personal de sala' para un lenguaje inclusivo que mantiene la función y experiencia solicitada.,0,,,
Se busca ingeniero de software senior. El candidato debe dominar Java y arquitecturas distribuidas.,Se busca profesional de desarrollo de software senior. La persona seleccionada debe dominar Java y arquitecturas distribuidas.,sesgo_genero_masculino,Se reemplaza el sustantivo masculino 'ingeniero' y 'candidato' por expresiones neutras que mantienen los requisitos técnicos.,0,,,
Buscamos vendedor con experiencia en retail. El candidato deberá cumplir objetivos de ventas mensuales.,Buscamos representante de ventas con experiencia en retail. La persona seleccionada deberá cumplir objetivos de ventas mensuales.,sesgo_genero_masculino,Se sustituye 'vendedor' y 'candidato' por términos neutrales que conservan la responsabilidad comercial.,0,,,
Se necesita enfermero para turno noche. El candidato tendrá que administrar medicamentos y registrar signos vitales.,Se necesita personal de enfermería para turno de noche. La persona seleccionada tendrá que administrar medicamentos y registrar signos vitales.,sesgo_genero_masculino,Se evita el sustantivo masculino 'enfermero' usando 'personal de enfermería' y se neutraliza 'candidato'.,0,,,
Se busca albañil con experiencia en obra pública. El trabajador debe manejar planos y herramientas de corte.,Se busca personal de obra con experiencia en obra pública. La persona seleccionada debe manejar planos y herramientas de corte.,sesgo_genero_masculino,Se reemplaza 'albañil' y 'trabajador' por expresiones inclusivas que mantienen las competencias técnicas.,0,,,
Se necesita secretario con dominio de Excel y atención al público.,Se necesita cubrir el puesto de asistente administrativo con dominio de Excel y atención al público.,sesgo_genero_masculino,"Se cambia 'secretario' por una formulación de puesto neutra y descriptiva, preservando los requisitos.",0,,,
Buscamos community manager creativo. El candidato deberá gestionar redes y crear contenido.,Buscamos profesional de community management con enfoque creativo. La persona seleccionada deberá gestionar redes y crear contenido.,sesgo_genero_masculino,Se evita el uso masculino implícito y se usa una denominación neutral que mantiene las responsabilidades.,0,,,
Se necesita conductor para reparto. El chofer tendrá que realizar rutas urbanas y reparto puerta a puerta.,Se necesita persona conductora para reparto. La persona seleccionada tendrá que realizar rutas urbanas y reparto puerta a puerta.,sesgo_genero_masculino,Se sustituye 'conductor' y 'chofer' por 'persona conductora' para neutralizar el género sin alterar la función.,0,,,
Se busca profesor de matemáticas para secundaria. El candidato debe preparar clases y evaluar alumnos.,Se busca docente de matemáticas para secundaria. La persona seleccionada debe preparar clases y evaluar al alumnado.,sesgo_genero_masculino,Se reemplaza 'profesor' y 'candidato' por términos neutrales y se usa 'alumnado' para inclusividad.,0,,,
Necesitamos médico general para guardias rotativas en clínica privada.,Se requiere personal médico para guardias rotativas en clínica privada.,sesgo_genero_masculino,Se reemplazó 'médico' por 'personal médico' para un lenguaje inclusivo sin alterar la función.,0,,,
Se requiere contador con 3 años de experiencia. El candidato será responsable de cierres mensuales.,Se requiere profesional de contabilidad con 3 años de experiencia. La persona seleccionada será responsable de cierres mensuales.,sesgo_genero_masculino,Se evita 'contador' y 'candidato' usando un término neutro que conserva el requisito de experiencia y responsabilidad.,0,,,
Se busca vendedor con experiencia en cierre B2B y cumplimiento de objetivos mensuales.,Se busca profesional de ventas con experiencia en cierre B2B y cumplimiento de objetivos mensuales.,sesgo_genero_masculino,Se reemplazó 'vendedor' por 'profesional de ventas' para evitar el uso del masculino genérico conservando la responsabilidad.,0,,,
Se requiere community manager que conozca herramientas de analítica y gestión de comunidades.,Se requiere profesional de community management que conozca herramientas de analítica y gestión de comunidades.,sesgo_genero_masculino,Reemplazo de la denominación en masculino genérico por 'profesional de community management' para lenguaje inclusivo manteniendo las responsabilidades.,0,,,
Buscamos un administrador de oficina encargado de gestión documental y atención al cliente.,Buscamos personal administrativo encargado de la gestión documental y atención al cliente.,sesgo_genero_masculino,Se reemplazó el sustantivo en masculino por 'personal administrativo' para un lenguaje más inclusivo manteniendo las tareas descritas.,0,,,
Se oferta puesto para profesor de primaria con experiencia en metodologías activas y formación docente.,Se oferta puesto para docente de primaria con experiencia en metodologías activas y formación docente.,sesgo_genero_masculino,Se sustituyó 'profesor' por 'docente' para evitar el masculino genérico y hacer la oferta más inclusiva sin cambiar el perfil buscado.,0,,,
Necesitamos un analista financiero con dominio avanzado de Excel y análisis de presupuestos.,Necesitamos analista de finanzas con dominio avanzado de Excel y análisis de presupuestos.,sesgo_genero_masculino,"Se eliminó el artículo y la forma masculina para usar 'analista de finanzas', que incluye a cualquier persona cualificada.",0,,,
"Se necesita conductor de camión para rutas regionales, con licencia C y disponibilidad para viajes.","Se necesita personal de conducción para rutas regionales, con licencia C y disponibilidad para viajes.",sesgo_genero_masculino,Se reemplazó 'conductor' por 'personal de conducción' para evitar el lenguaje en masculino y mantener la condición de licencia y disponibilidad.,0,,,
Se busca un community manager creativo para gestionar redes sociales y campañas digitales.,Se busca profesional responsable de comunidad digital para gestionar redes sociales y campañas digitales.,sesgo_genero_masculino,Se sustituyó 'un community manager' por 'profesional responsable de comunidad digital' para un lenguaje neutral y acogedor sin cambiar las funciones.,0,,,
"Contratamos operario de producción para línea de montaje, manejo de maquinaria y control de calidad.","Contratamos personal de producción para línea de montaje, manejo de maquinaria y control de calidad.",sesgo_genero_masculino,Se reemplazó el término en masculino por 'personal de producción' para incluir a todas las identidades de género respetando los requisitos técnicos.,0,,,
Buscamos desarrollador backend senior. El candidato debe dominar Node.js y sistemas distribuidos.,Buscamos profesional de desarrollo backend senior. La persona seleccionada debe dominar Node.js y sistemas distribuidos.,sesgo_genero_masculino,Se reemplazó el sustantivo en masculino genérico y 'el candidato' por términos neutros que incluyen a todas las identidades de género.,0,,,
